start,end,actor,recipient,bodypart_actor,bodypart_recipient,label,intensity_of_body_contact,valence_actor,valence_recipient,intention,audio_information
282.00,284.00,MEN,FORREST,,,CHANGE_POSITION,1,POSITIVE,POSITIVE,1,
285.00,286.00,MEN,FORREST,,CHEST,CHANGE_POSITION,1,POSITIVE,POSITIVE,1,
290.00,291.00,MRS. GUMP,FORREST,,,FIX CLOTHING,1,POSITIVE,POSITIVE,1,
314.00,316.00,MRS. GUMP,FORREST,,,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
314.00,317.00,FORREST,MRS. GUMP,,,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
342.00,353.00,MRS. GUMP,FORREST,,,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
342.00,353.00,FORREST,MRS. GUMP,,,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
352.00,353.00,MRS. GUMP,FORREST,,,PULL_SOMEBODY,1,POSITIVE,NEGATIVE,1,AUDITORY
355.00,357.00,MRS. GUMP,FORREST,,,,1,POSITIVE,NEGATIVE,1,AUDITORY
359.00,361.00,FORREST,MRS. GUMP,,,HOLD,0,NEGATIVE,POSITIVE,1,
363.00,363.00,MRS. GUMP,FORREST,,,,1,POSITIVE,POSITIVE,1,
363.00,364.00,MRS. GUMP,FORREST,,ABDOMEN,BRUSH PAST,0,POSITIVE,POSITIVE,1,
364.00,365.00,MRS. GUMP,FORREST,,,HOLD,1,POSITIVE,NEGATIVE,1,
366.00,376.00,MRS. GUMP,FORREST,,,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
385.00,409.00,MRS. GUMP,FORREST,,,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
385.00,409.00,FORREST,MRS. GUMP,,,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
409.00,410.00,MRS. GUMP,FORREST,,,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
409.00,410.00,FORREST,MRS. GUMP,,,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
410.00,411.00,MRS. GUMP,FORREST,,,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
410.00,411.00,FORREST,MRS. GUMP,,,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
411.00,411.00,MRS. GUMP,FORREST,,,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
411.00,411.00,FORREST,MRS. GUMP,,,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
412.00,412.00,MRS. GUMP,FORREST,,,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
412.00,412.00,FORREST,MRS. GUMP,,,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
413.00,413.00,MRS. GUMP,FORREST,,,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
413.00,413.00,FORREST,MRS. GUMP,,,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
414.00,425.00,MRS. GUMP,FORREST,,,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
414.00,425.00,FORREST,MRS. GUMP,,,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
426.00,427.00,MRS. GUMP,FORREST,,,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
426.00,427.00,FORREST,MRS. GUMP,,,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
427.00,434.00,MRS. GUMP,FORREST,,,HOLD,1,POSITIVE,POSITIVE,1,
712.00,717.00,MRS. GUMP,FORREST,,FACE,HOLD,1,POSITIVE,POSITIVE,1,
717.00,717.00,MRS. GUMP,FORREST,FACE,FACE,,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
718.00,721.00,MRS. GUMP,FORREST,,,CHANGE_POSITION,1,POSITIVE,POSITIVE,1,
840.00,840.00,JENNY,FORREST,,,SHAKE_HANDS,1,POSITIVE,STRONG_POSITIVE,1,
840.00,841.00,JENNY,FORREST,,,SHAKE_HANDS,1,POSITIVE,STRONG_POSITIVE,1,
841.00,842.00,JENNY,FORREST,,,SHAKE_HANDS,1,POSITIVE,STRONG_POSITIVE,1,
