start,end,actor,recp,bp_actor,bp_recp,labels,int_bc,val_actor,val_recp,intention,audio_info
00:04:42:08,00:04:46:23,man,fg,hand,ruecken,lag,str,pos,pos,ja,narr
00:04:50:17,00:04:52:12,mg,fg,hand,bein,klei,wea,spos,pos,ja,
00:05:14:12,00:05:16:15,fg,mg,hand,hand,hah,wea,spos,spos,nein,
00:05:14:12,00:05:16:15,mg,fg,hand,hand,hah,wea,spos,spos,nein,
00:05:43:14,00:05:51:20,fg,mg,hand,hand,hah,wea,spos,spos,nein,narr
00:05:43:14,00:05:51:20,mg,fg,hand,hand,hah,wea,spos,spos,nein,narr
00:05:56:01,00:05:58:15,mg,fg,hand,huefte,fes,str,pos,pos,ja,aud
00:06:06:10,00:06:16:20,mg,fg,hand,hand,hah,wea,spos,spos,ja,
00:06:26:00,00:07:07:19,fg,mg,hand,hand,hah,wea,spos,spos,nein,
00:06:26:00,00:07:07:19,mg ,fg,hand,hand,hah,wea,spos,spos,nein,
00:07:07:20,00:07:13:00,mg,fg,hand,schulter,fes,wea,pos,pos,ja,
00:11:20:07,00:11:21:20,fg,mg,schulter arm,schulter arm,nah,wea,pos,pos,nein,
00:11:20:07,00:11:21:20,mg ,fg,schulter arm,schulter arm,nah,wea,pos,pos,nein,
00:11:26:05,00:11:28:03,fg,mg,schulter arm,schulter arm,nah,wea,pos,pos,nein,
00:11:26:05,00:11:28:03,mg ,fg,schulter arm,schulter arm,nah,wea,pos,pos,nein,
00:11:29:00,00:11:29:15,mg,fg,hand,arm,zie,str,neg,neg,ja,
00:11:53:06,00:11:57:24,mg,fg,hand,gesicht,fes,wea,pos,pos,ja,
00:11:57:05,00:11:57:15,mg,fg,gesicht ,gesicht,kuss ,wea,spos,spos,ja,
00:12:45:19,00:12:50:00,children,children,arm,arm,nah,wea,pos,pos,nein,
00:14:00:16,00:14:02:20,jc,fg,hand,hand,haes,str,pos,pos,ja,
00:14:17:15,00:14:21:11,fg,jc,arm,arm,nah,wea,pos,pos,nein,
00:14:17:15,00:14:21:11,jc ,fg,arm,arm,nah,wea,pos,pos,nein,
00:14:33:03,00:14:41:03,jc,fg,hand,hand,hah,wea,spos,spos,ja,narr
00:14:44:18,00:14:46:00,fg,jc,hand,hand,hah,wea,spos,spos,nein,
00:14:44:18,00:14:46:00,jc,fg,hand,hand,hah,wea,spos,spos,nein,
00:15:06:14,00:15:09:03,jc,fg,hand,hand,lag,str,spos,spos,ja,
00:15:12:10,00:15:13:05,jc,fg,hand,schulter,sb,wea,pos,pos,ja,
00:17:53:10,00:17:54:01,fg,jc,hand,hand,hah,wea,pos,pos,ja,narr
00:17:53:10,00:17:54:01,jc ,fg,hand,hand,hah,wea,pos,pos,ja,narr
00:17:59:00,00:18:02:00,fg,jc,hand,hand,zie,str,pos,pos,ja,narr
00:17:59:00,00:18:02:00,jc ,fg,hand,hand,zie,str,pos,pos,ja,narr
00:18:08:15,00:18:10:09,jc,fg,hand,hand,zie,str,pos,pos,ja,
00:18:56:24,00:19:04:18,jc,fg,arm,brust,sch,wea,spos,spos,ja,
00:20:26:12,00:20:26:18,man,man,brust,ruecken,remp,str,sneg,sneg,ja,narr
00:20:48:19,00:20:50:00,man,fg,hand,ruecken,ans,str,pos,pos,ja,
00:20:51:22,00:20:53:14,men,men,arm,arm,nah,wea,pos,pos,nein,
00:21:22:04,00:21:22:23,fg,crowd,brust,brust,remp,str,neg,neg,nein,narr
00:21:30:20,00:21:32:09,man,man,hand,schulter,sb,wea,pos,pos,ja,
00:21:53:15,00:21:54:14,man,jc,,,hug,str,pos,pos,nein,narr
00:21:53:15,00:21:54:14,jc ,man,,,hug,str,pos,pos,nein,narr
00:22:13:19,00:22:19:12,fg,man,hand,gesicht,hit,str,sneg,sneg,ja,narr
00:22:20:00,00:22:21:14,jc,fg,hand,ruecken,zie,str,neg,neg,ja,narr
00:22:21:00,00:22:21:18,jc,fg,hand,ruecken,hit,str,neg,neg,ja,aud
00:22:26:03,00:22:26:20,jc,fg,hand,schulter,weg,str,neg,neg,ja,
00:22:28:10,00:22:31:06,man,jc,hand,hand,weg,str,sneg,sneg,ja,
00:23:03:22,00:23:05:07,jc,fg,hand,hand,hah,str,pos,pos,ja,narr
00:24:28:12,00:24:30:10,jc,fg,hand,hand,hah,str,spos,spos,ja,narr
00:24:29:00,00:24:38:21,fg,jc,hand,brust,sb,wea,spos,spos,ja,narr
00:24:56:21,00:25:21:00,jc,fg,kopf,schulter,sch,wea,spos,spos,ja,
00:25:02:08,00:25:03:03,jc,fg,hand,gesicht,tae,wea,spos,spos,ja,narr
00:25:15:02,00:25:15:17,jc,fg,gesicht,gesicht,kuss,wea,spos,spos,ja,narr
00:25:37:19,00:25:40:11,men,men,brust,ruecken,remp,str,neg,neg,nein,narr
00:26:20:15,00:26:22:18,man,man,hand,hand,haes,wea,pos,pos,ja,
00:26:24:24,00:26:25:17,man,man,hand,hand,haes,wea,pos,pos,ja,
00:26:32:22,00:26:34:00,fg,man,hand,hand,haes,wea,pos,pos,ja,
00:27:20:23,00:27:23:08,man,fg,hand,hand,haes,wea,pos,pos,ja,
