start,end,actor,recp,bp_actor,bp_recp,labels,int-bc,val_actor,val_recp,intention,audio_info
00:04:42:13,00:04:46:23,oldman,fg,arm,bein ruecken huefte,lag,wea,pos,pos,ja,
00:04:50:09,00:04:52:07,mg,fg,hand,gesaess,klei,wea,pos,pos,ja,
00:05:14:17,00:05:16:15,mg,fg,hand,hand,hah,str,pos,pos,ja,
00:05:14:17,00:05:16:15,fg,mg,hand,hand,hah,str,pos,pos,ja,
00:05:42:24,00:05:51:22,mg,fg,hand,hand,hah,str,pos,pos,ja,
00:05:42:24,00:05:51:22,fg,mg,hand,hand,hah,str,pos,pos,ja,
00:05:51:23,00:05:52:15,mg,fg,hand,hand,zie,str,neg,neg,ja,
00:05:56:02,00:05:57:24,mg,fg,hand,bauch ruecken,zie,str,neg,neg,ja,
00:06:04:00,00:06:05:01,mg,fg,hand,gesaess,sb,wea,pos,pos,ja,
00:06:05:03,00:06:16:18,mg,fg,hand,hand,hah,str,pos,pos,ja,
00:06:25:15,00:07:07:13,mg,fg,hand,hand,hah,wea,pos,pos,ja,
00:06:25:15,00:07:07:13,fg,mg,hand,hand,hah,wea,pos,pos,ja,
00:07:07:23,00:07:14:09,mg,fg,hand,schulter,fes,wea,pos,pos,ja,
00:11:28:12,00:11:29:02,mg,fg,hand,arm,zie,wea,neg,neg,ja,
00:11:52:15,00:11:57:24,mg,fg,hand,gesicht,fes,wea,pos,pos,ja,
00:11:57:06,00:11:57:17,mg,fg,gesicht,gesicht,kuss,wea,pos,pos,ja,
00:11:58:05,00:11:58:09,mg,fg,hand,schulter,fes,wea,pos,pos,ja,
00:11:58:18,00:12:00:02,mg,fg,hand,ruecken,lag,wea,pos,pos,ja,
00:12:00:03,00:12:01:06,mg,fg,hand,arm,fes,wea,pos,pos,ja,
00:14:00:09,00:14:02:09,jc,fg,hand,hand,haes,wea,pos,pos,ja,narr
00:14:17:05,00:14:21:01,jc,fg,arm bein,arm bein,nah,wea,pos,pos,ja,
00:14:17:05,00:14:21:01,fg,jc,arm bein,arm bein,nah,wea,pos,pos,ja,
00:14:32:20,00:14:43:05,jc,fg,hand,hand,hah,wea,pos,pos,ja,
00:14:44:05,00:14:46:01,jc,fg,hand,hand,hah,wea,pos,pos,ja,
00:15:06:10,00:15:09:00,jc,fg,hand,hand,zie,str,pos,pos,ja,
00:15:12:02,00:15:12:11,jc,fg,hand,schulter,sb,wea,pos,pos,ja,
00:15:12:13,00:15:12:22,jc,fg,hand,ruecken,weg,str,pos,pos,ja,
00:17:53:06,00:17:54:15,jc,fg,hand,hand,zie,str,neg,neg,ja,narr
