start;end;actor;recp;bp_actor;bp_recp;labels;int_bc;val_actor;val_recp;intention;audio_info
00:04:42;00:04:44;man;fg;arm brust hand;bein gesaess ruecken;lag;wea;pos;neg;ja;
00:04:46;00:04:47;man;fg;hand;brust ruecken;lag;str;pos;neg;ja;aud narr
00:04:50;00:04:52;mg;fg;hand;gesaess;klei;wea;pos;pos;ja;
00:05:14;00:05:16;fg;mg;hand;hand;hah;wea;pos;pos;ja;
00:05:14;00:05:16;mg;fg;hand;hand;hah;wea;pos;pos;ja;
00:05:43;00:05:52;fg;mg;hand;hand;hah;wea;pos;pos;ja;
00:05:43;00:05:52;mg;fg;hand;hand;hah;wea;pos;pos;ja;
00:05:52;00:05:53;mg;fg;hand;hand;zie;wea;neg;neg;ja;
00:05:55;00:05:57;mg;fg;arm brust hand;arm gesaess ruecken;zie;str;sneg;neg;ja;
00:05:59;00:06:01;mg;fg;brust schulter;arm bauch ruecken;zie;str;sneg;neg;ja;
00:06:03;00:06:05;mg;fg;arm brust hand;bein huefte ;lag;wea;neg;neg;ja;
00:06:06;00:06:16;fg;mg;hand;hand;hah;wea;pos;pos;ja;
00:06:06;00:06:16;mg;fg;hand;hand;hah;wea;pos;pos;ja;
00:06:26;00:07:08;fg;mg;hand;hand;hah;wea;pos;pos;ja;
00:06:26;00:07:08;mg;fg;hand;hand;hah;wea;pos;pos;ja;
00:07:08;00:07:13;mg;fg;hand;schulter;fes;wea;pos;pos;ja;
00:07:13;00:07:14;mg;fg;hand;schulter brust;klop;wea;pos;pos;ja;
00:11:52;00:11:58;mg;fg;hand;gesicht;fes;wea;pos;pos;ja;
00:11:57;00:11:58;mg;fg;gesicht;gesicht;kuss;wea;pos;pos;ja;
00:11:58;00:11:58;mg;fg;hand;schulter;sb;wea;pos;pos;ja;
00:11:58;00:12:00;mg;fg;hand;ruecken schulter;lag;wea;pos;pos;ja;
00:12:00;00:12:01;mg;fg;hand;arm;fes;wea;pos;pos;ja;
00:14:00;00:14:02;jc;fg;hand;hand;haes;wea;pos;pos;ja;narr
00:14:17;00:14:21;fg;jc;arm huefte schulter;arm huefte schulter;nah;wea;pos;pos;nein;
00:14:17;00:14:21;jc;fg;arm huefte schulter;arm huefte schulter;nah;wea;pos;pos;nein;
00:14:33;00:14:34;jc;fg;arm hand;arm hand;hah;wea;pos;pos;ja;
00:14:34;00:14:35;jc;fg;arm hand;arm hand;lag;wea;pos;pos;ja;
00:14:36;00:14:46;jc;fg;arm hand;arm hand;hah;wea;pos;pos;ja;narr
00:15:06;00:15:09;jc;fg;hand;hand;lag;str;neg;neg;ja;
00:15:12;00:15:13;jc;fg;hand;schulter;klop;wea;neg;neg;ja;
00:17:53;00:17:54;jc;fg;hand;hand;fueh;wea;neg;neg;ja;narr
00:17:59;00:18:02;jc;fg;hand;hand;fueh;wea;neg;neg;ja;narr
00:18:03;00:18:05;jc;fg;hand;hand;fueh;wea;neg;neg;ja;
00:18:07;00:18:08;jc;fg;hand;hand;fueh;wea;neg;neg;ja;
00:18:10;00:18:11;jc;fg;hand;hand;lag;wea;neg;neg;ja;
00:18:41;00:18:41;oldwoman;jc;hand;schulter;sb;wea;pos;pos;ja;
00:18:56;00:19:04;jc;fg;arm hand;arm brust;hug;wea;pos;pos;ja;
00:20:26;00:20:26;man;man;arm bauch brust gesicht hand huefte;arm gesaess huefte ruecken;tac;str;neg;neg;nein;aud narr
00:20:48;00:20:49;man;fg;hand;ruecken;ans;str;pos;pos;ja;
00:20:51;00:20:53;man;man;arm;arm;sb;wea;pos;pos;nein;
00:20:59;00:20:59;man;man;schulter;bauch kopf;tac;str;neg;neg;nein;aud
00:20:59;00:20:59;man;man;bauch kopf;schulter;tac;str;neg;neg;nein;aud
00:21:07;00:21:08;man;man;hand;schulter;fes;wea;pos;pos;ja;
00:21:10;00:21:10;man;man;arm ruecken schulter;arm brust hand schulter;tac;str;neg;neg;nein;narr
00:21:10;00:21:10;man;man;arm brust hand schulter;arm ruecken schulter;tac;str;neg;neg;nein;
00:21:22;00:21:22;fg;crowd;schulter;schulter;remp;str;pos;neg;nein;aud narr
00:21:26;00:21:32;man;man;hand;schulter nacken;fes;wea;pos;pos;ja;
00:21:31;00:21:32;man;man;hand;arm;klop;str;pos;pos;ja;
00:21:51;00:21:54;jc;man;arm brust gesicht hand;arm brust gesicht ruecken;hug;wea;pos;pos;ja;narr
00:21:51;00:21:54;man;jc;arm brust gesicht ruecken;arm brust gesicht hand  ;hug;wea;pos;pos;ja;narr
00:22:14;00:22:15;fg;man;hand;bauch;hit;str;neg;sneg;ja;aud narr
00:22:15;00:22:16;fg;man;hand;bauch;hit;str;neg;sneg;ja;aud narr
00:22:17;00:22:18;fg;man;hand;bauch;hit;str;neg;sneg;ja;narr
00:22:18;00:22:19;fg;man;hand;bauch;hit;str;neg;sneg;ja;narr
00:22:19;00:22:20;fg;man;hand;bauch;hit;str;neg;sneg;ja;narr
00:22:19;00:22:21;jc;fg;arm hand;ruecken schulter;weg;str;sneg;neg;ja;
00:22:23;00:22:24;jc;man;arm hand;bauch;sb;wea;neg;neg;ja;
00:22:26;00:22:27;jc;fg;hand;schulter brust;weg;str;neg;neg;ja;
00:22:27;00:22:28;jc;man;hand;brust;sb;wea;neg;sneg;ja;
00:22:28;00:22:28;man;jc;hand;hand;weg;str;sneg;sneg;ja;
00:22:29;00:22:29;jc;man;hand;bauch;sb;wea;neg;sneg;ja;
00:22:29;00:22:29;man;jc;arm;hand;weg;wea;sneg;neg;ja;
00:22:30;00:22:30;jc;man;hand;brust;sb;wea;neg;sneg;ja;
00:22:30;00:22:30;man;jc;arm hand;arm bauch ;weg;str;sneg;sneg;ja;
00:23:02;00:23:04;jc;fg;hand;hand;fueh;wea;neg;neg;ja;narr
00:24:27;00:24:29;jc;fg;hand;hand;lag;wea;pos;spos;ja;narr
00:24:38;00:24:39;fg;jc;hand;hand;zie;wea;neg;pos;ja;narr
00:24:56;00:25:05;jc;fg;arm brust gesicht hand;brust gesicht nacken schulter;nah;wea;spos;pos;ja;narr
00:25:02;00:25:02;jc;fg;hand;gesicht;sch;wea;spos;pos;ja;aud narr
00:25:15;00:25:16;jc;fg;gesicht;gesicht;kuss;wea;spos;spos;ja;
00:26:20;00:26:22;man;man;hand;hand;haes;wea;pos;spos;ja;
00:26:24;00:26:26;man;man;hand;hand;haes;wea;pos;spos;ja;
00:26;00:26;man;fg;hand;hand;haes;wea;pos;neg;ja;
00:27:20;00:27:23;man;fg;hand;hand;haes;wea;pos;pos;ja;
00:27:25;00:27:27;fg;mg;arm;arm hand schulter;nah;wea;pos;spos;ja;
00:27:25;00:27:27;mg;fg;arm hand schulter;arm;nah;wea;spos;pos;ja;
00:27:28;00:27:29;mg;fg;hand;kopf;klei;wea;pos;pos;ja;
00:27:30;00:27:32;man;fg;hand;schulter;klop;wea;pos;pos;ja;
00:28:14;00:28:14;fg;bb;schulter;schulter;sb;wea;pos;pos;nein;
