start;end;actor;recp;bp_actor;bp_recp;label;int_bc;val_actor;val_recp;intention;audio_info
00:04:41:18;00:04:46:05;oldman;fg;arm;ruecken arm bein;lag;str;pos;pos;ja;narr
00:04:45:19;00:04:46:05;oldman;fg;arm;brust;klop;wea;pos;pos;ja;
00:04:49:18;00:04:49:21;mg;fg;hand;hand;sb;wea;pos;pos;ja;
00:04:50:00;00:04:50:23;mg;fg;hand;bein;klei;wea;pos;pos;ja;
00:05:14:06;00:05:16:08;mg;fg;hand;hand;hah;wea;pos;pos;ja;
00:05:14:06;00:05:16:08;fg;mg;hand;hand;hah;wea;pos;pos;ja;
00:05:42:24;00:05:51:12;mg;fg;hand;hand;hah;wea;pos;pos;ja;
00:05:42:24;00:05:51:12;fg;mg;hand;hand;hah;wea;pos;pos;ja;
00:05:51:12;00:05:53:01;mg;fg;hand;hand arm;zieh;str;neg;neg;ja;narr
00:05:55:12;00:05:57:24;mg;fg;hand arm;hand arm brust bauch ruecken;lag;str;neg;sneg;ja;aud 
00:05:59:24;00:06:01:18;mg;fg;arm ruecken schulter;brust arm;zie;str;neg;sneg;ja;aud
00:06:02:24;00:06:03:10;mg;fg;arm brust;arm brust bein;lag;wea;neg;neg;ja;
00:06:02:24;00:06:05:13;mg;fg;hand arm;arm brust bein;fes;wea;pos;pos;ja;
00:06:03:16;00:06:04:12;mg;fg;hand schulter;gesaess huefte bauch;sb;wea;pos;pos;ja;
00:06:05:18;00:06:16:00;mg;fg;hand;hand;hah;wea;pos;pos;ja;
00:06:25:14;00:07:07:13;mg;fg;hand;hand;hah;wea;pos;pos;ja;
00:06:25:14;00:07:07:13;fg;mg;hand;hand;hah;wea;pos;pos;ja;
00:07:07:20;00:07:14:09;mg;fg;hand;schulter;fes;wea;pos;pos;ja;
00:11:19:18;00:11:21:11;mg;fg;schulter;schulter;nah;wea;pos;pos;ja;
00:11:19:18;00:11:21:11;fg;mg;schulter;schulter;nah;wea;pos;pos;ja;
00:11:26:03;00:11:28:17;mg;fg;schulter;schulter;nah;wea;pos;pos;ja;
00:11:26:03;00:11:28:17;fg;mg;schulter;schulter;nah;wea;pos;pos;ja;
00:11:52:15;00:11:57:21;mg;fg;hand;gesicht;fes;wea;spos;pos;ja;
00:11:57:09;00:11:57:15;mg;fg;gesicht;gesicht;kuss;wea;spos;pos;ja;
00:11:58:11;00:12:01:06;mg;fg;hand;schulter;lag;wea;pos;pos;ja;
00:12:35:04;00:12:37:19;boy;boy;schulter arm;schulter arm;nah;wea;pos;pos;ja;
00:12:41:14;00:12:50:03;children;children;schulter arm;schulter arm;nah;wea;pos;pos;ja;
00:12:51:07;00:12:58:10;children;children;schulter arm;schulter arm;nah;wea;pos;pos;ja;
00:13:29:02;00:13:29:04;fg;jc;schulter arm;schulter arm;sb;wea;pos;pos;ja;narr
00:14:00:07;00:14:02:09;jc;fg;hand;hand;haes;wea;pos;pos;ja;narr
00:14:17:05;00:14:21:01;fg;jc;schulter arm;schulter arm;nah;wea;spos;spos;ja;
00:14:17:05;00:14:21:01;jc;fg;schulter arm;schulter arm;nah;wea;spos;spos;ja;
00:14:32:22;00:14:45:24;jc;fg;hand arm;hand arm;hah;wea;spos;spos;ja;narr
00:15:06:10;00:15:08:24;jc;fg;hand;hand;lag;wea;pos;pos;ja;
00:15:12:02;00:15:12:22;jc;fg;hand;schulter;weg;wea;spos;pos;ja;
00:17:45:15;00:17:46:06;jc;fg;hand;hand;zie;str;neg;pos;ja;narr
00:17:53:06;00:17:54:17;jc;fg;hand;hand;zie;str;neg;pos;ja;
00:17:58:14;00:18:01:20;jc;fg;hand;hand;zie;str;neg;pos;ja;
00:18:03:08;00:18:04:19;jc;fg;hand;hand;zie;str;neg;pos;ja;narr
00:18:09:09;00:18:10:05;jc;fg;hand;hand;zie;wea;pos;pos;ja;
00:18:41:10;00:18:41:15;oldwoman;jc;hand;schulter;tae;wea;pos;pos;ja;
00:18:55:18;00:19:04:07;jc;fg;schulter arm bein;schulter arm bein;nah;wea;spos;spos;ja;narr
00:18:56:15;00:19:04:07;jc;fg;schulter arm bein;schulter arm bein;sch;wea;spos;spos;ja;narr
00:18:56:15;00:19:04:07;jc;fg;arm;brust schulter;arm;wea;spos;spos;ja;
00:19:43:22;00:19:45:14;boy;boy;gesaess;gesaess;nah;wea;pos;pos;ja;
00:20:26:06;00:20:26:16;man;man;hand bauch arm schulter;bauch arm schulter ruecken;;str;sneg;sneg;ja;aud narr
00:20:48:17;00:20:49:13;man;fg;hand;ruecken;ans;str;pos;pos;ja;
00:21:07:19;00:21:08:16;man;man;hand;schulter;fes;wea;spos;pos;ja;
00:21:10:05;00:21:10:10;man;man;hand arm bauch brust;hand arm bauch brust hals nacken kopf;tac;str;sneg;sneg;ja;aud narr
00:21:13:12;00:21:14:02;man;man;hand arm bauch;ruecken bauch arm;tac;str;sneg;sneg;ja;
00:21:22:02;00:21:22:18;fg;men;arm schulter;schulter huefte bein arm bauch;;str;neg;neg;ja;aud narr
00:21:30:19;00:21:31:01;man;man;hand;arm;fes;wea;spos;spos;ja;
00:21:31:04;00:21:32:03;man;man;hand;arm;fes;wea;spos;spos;ja;
00:21:51:19;00:21:54:08;jc;man;arm;schulter nacken;hug;str;spos;spos;ja;narr
00:21:59:19;00:22:03:02;man;jc;gesicht hand;gesicht hals brust;kuss;str;pos;pos;ja;aud
00:22:14:04;00:22:20:20;fg;man;hand;gesicht;hit;str;sneg;sneg;ja;aud narr
00:22:19:14;00:22:21:14;jc;fg;hand;arm ruecken schulter brust;zie;str;sneg;neg;ja;narr
00:22:25:21;00:22:26:16;jc;fg;hand;arm schulter;weg;wea;sneg;neg;ja;aud
00:22:28:00;00:22:28:10;jc;man;hand;brust;sb;wea;pos;neg;ja;
00:22:28:08;00:22:28:15;man;jc;hand;hand;weg;str;sneg;sneg;ja;aud
00:22:29:03;00:22:29:04;jc;man;hand;brust;tae;wea;pos;neg;ja;
00:22:30:11;00:22:30:22;jc;man;hand;brust bauch;sb;wea;pos;neg;ja;
00:22:30:19;00:22:30:22;man;jc;hand;brust bauch;weg;wea;sneg;neg;ja;aud
00:23:02:04;00:23:04:17;jc;fg;hand;hand;zie;wea;pos;pos;ja;narr
00:23:06:14;00:23:07:01;jc;fg;hand;hand;zie;wea;pos;pos;ja;narr
00:24:27:12;00:24:29:07;jc;fg;hand;brust;abt;wea;pos;spos;ja;narr
00:24:38:21;00:24:39:18;jc;fg;hand;hand;hah;wea;pos;pos;ja;
00:24:56:05;00:25:18:24;jc;fg;hand arm kopf gesicht;hals schulter nacken gesicht;sch;wea;spos;spos;ja;narr
00:24:56:05;00:25:21:12;jc;fg;hand arm kopf;schulter nacken hals gesicht;nah;wea;spos;spos;ja;narr
00:24:56:05;00:25:18:24;jc;fg;hand arm kopf gesicht;hals schulter nacken;arm;wea;spos;spos;ja;narr
00:25:02:06;00:25:05:10;jc;fg;hand;gesicht;tae;wea;spos;spos;ja;narr
00:25:15:00;00:25:15:14;jc;fg;gesicht;gesicht;kuss;wea;spos;spos;ja;aud narr
00:25:37:04;00:25:40:01;men;men;ruecken arm schulter gesaess huefte bein nacken fuss;ruecken arm schulter gesaess huefte bein nacken fuss;tac;str;neg;neg;nein;narr
00:25:38:00;00:25:40:01;men;men;ruecken arm schulter gesaess huefte bein nacken fuss;ruecken arm schulter gesaess huefte bein nacken fuss;lie;str;neg;neg;nein;narr
00:26:20:17;00:26:22:18;man;man;hand;hand;haes;str;pos;spos;ja;
00:26:24:12;00:26:26:06;man;man;hand;hand;haes;str;pos;spos;ja;
00:26:32:21;00:26:33:15;man;fg;hand;hand;haes;str;pos;pos;ja;
00:27:20:22;00:27:23:07;man;fg;hand;hand;haes;str;pos;pos;ja;
00:27:25:11;00:27:26:17;mg;fg;hand arm schulter;arm;ein;wea;spos;pos;ja;
00:27:28:06;00:27:28:19;mg;fg;hand;kopf;klei;wea;spos;pos;ja;
00:27:30:19;00:27:30:22;mg;fg;hand;hand;weg;wea;neg;neg;ja;
00:27:31:21;00:27:32:01;man;fg;hand;schulter;klop;wea;pos;pos;ja;
00:28:14:11;00:28:50:08;fg;bb;schulter arm;schulter arm;nah;wea;pos;pos;ja;
00:28:39:08;00:28:42:11;bb;fg;hand;hand;haes;wea;pos;pos;ja;
00:29:09:21;00:29:19:00;fg;bb;schulter arm;schulter arm;nah;wea;pos;pos;ja;
00:32:16:15;00:32:16:17;man;woman;hand;gesaess;klop;wea;pos;pos;ja;
00:33:19:06;00:33:19:09;jc;man;fuss;hand;weg;wea;neg;neg;ja;aud narr
00:33:33:10;00:33:34:07;fg;man;hand;schulter ruecken arm;weg;str;sneg;sneg;ja;aud narr
00:33:34:23;00:33:36:03;man;fg;hand;schulter;fes;wea;neg;neg;ja;
