start;end;actor;recp;bp_actor;bp_recp;label;int_bc;val_actor;val_recp;intention;audio_info
00:04:42;00:04:46;men;fg;ruecken bein;arm hand;lag;wea;pos;pos;ja;narr
00:04:50;00:04:51;mg;fg;hand;bein gesaess;klei;wea;pos;pos;ja;
00:05:14;00:05:16;mg;fg;hand;hand;hah;wea;pos;pos;ja;
00:05:14;00:05:16;fg;mg;hand;hand;hah;wea;pos;pos;ja;
00:05:42;00:05:52;mg;fg;hand;hand;hah;wea;pos;pos;ja;
00:05:42;00:05:52;fg;mg;hand;hand;hah;wea;pos;pos;ja;narr
00:05:52;00:05:53;mg;fg;hand arm;arm hand;zie;str;pos;neg;ja;
00:05:56;00:05:57;mg;fg;hand arm;arm ruecken bauch;zie;str;pos;neg;ja;
00:06:00;00:06:01;mg;fg;schulter;bauch arm;zie;str;pos;neg;ja;
00:06:03;00:06:03;mg;fg;hand arm schulter;bein;zie;wea;pos;neg;ja;
00:06:03;00:06:05;mg;fg;hand schulter;bein huefte arm;sb;wea;pos;pos;ja;
00:06:05;00:06:15;mg;fg;hand;hand;hah;wea;pos;pos;ja;
00:06:25;00:06:42;mg;fg;hand;hand;hah;wea;pos;pos;ja;
00:06:25;00:06:42;fg;mg;hand;hand;hah;wea;pos;pos;ja;
00:06:42;00:07:05;mg;fg;hand;hand;hah;wea;pos;pos;ja;
00:06:42;00:07:05;fg;mg;hand;hand;hah;wea;pos;pos;ja;
00:07:06;00:07:07;mg;fg;hand;hand;hah;wea;pos;pos;ja;
00:07:06;00:07:07;fg;mg;hand;hand;hah;wea;pos;pos;ja;
00:07:07;00:07:12;mg;fg;hand;arm schulter;fes;wea;pos;pos;ja;
00:07:12;00:07:14;mg;fg;hand;schulter;fes;wea;pos;pos;ja;
00:11:19;00:11:21;mg;fg;arm;schulter;sb;wea;pos;pos;ja;
00:11:19;00:11:21;fg;mg;schulter;arm;sb;wea;pos;pos;ja;
00:11:26;00:11:27;mg;fg;arm;schulter;sb;wea;pos;pos;ja;
00:11:26;00:11:27;fg;mg;schulter;arm;sb;wea;pos;pos;ja;
00:11:52;00:11:57;mg;fg;hand;gesicht;fes;wea;pos;pos;ja;
00:11:57;00:11:57;mg;fg;hand;gesicht;kuss;wea;spos;pos;ja;
00:11:58;00:12:01;mg;fg;hand;arm ruecken ;lag;wea;pos;pos;ja;
00:12:35;00:12:37;boy;boy;arm;arm;nah;wea;pos;pos;ja;
00:12:41;00:12:44;girl;girl;arm;arm;nah;wea;pos;pos;ja;
00:12:45;00:12:48;boy;boy;arm;arm;nah;wea;pos;pos;ja;
00:14:00;00:14:02;jc;fg;hand;hand;haes;wea;pos;pos;ja;narr
00:14:17;00:14:21;fg;jc;schulter arm bein;schulter arm bein;nah;wea;pos;pos;ja;
00:14:17;00:14:21;jc;fg;schulter arm bein;schulter arm bein;nah;wea;pos;pos;ja;
00:14:33;00:14:40;jc;fg;hand arm;hand arm;hah;wea;pos;pos;ja;
00:15:06;00:15:07;jc;fg;hand;hand;lag;wea;pos;pos;ja;
00:15:08;00:15:08;jc;fg;hand;hand;lag;wea;pos;pos;ja;
00:15:12;00:15:12;jc;fg;hand;schulter;fes;wea;pos;pos;ja;
00:15:12;00:15:12;jc;fg;hand;schulter;ans;wea;pos;pos;ja;
00:17:53;00:17:53;jc;fg;hand;hand;zie;wea;pos;pos;ja;
00:17:58;00:18:00;jc;fg;hand;hand;zie;wea;pos;pos;ja;narr
00:18:03;00:18:04;jc;fg;hand;hand;zie;wea;pos;pos;ja;
00:18:09;00:18:10;jc;fg;hand;arm;zie;wea;pos;pos;ja;
00:18:14;00:18:23;jc;fg;schulter arm;schulter arm;nah;wea;pos;pos;ja;
00:18:14;00:18:23;fg;jc;schulter arm;schulter arm;nah;wea;pos;pos;ja;
00:18:32;00:18:32;jc;man;hand;hand;sb;wea;pos;pos;ja;
00:18:41;00:18:41;oldwoman;jc;hand;schulter;sb;wea;pos;pos;ja;
00:18:56;00:19:04;jc;fg;hand arm brust bauch;schulter brust arm;sch;wea;pos;pos;ja;
00:19:44;00:19:45;man;man;gesaess bein;gesaess ruecken bein;sb;wea;pos;pos;nein;
00:20:17;00:20:18;men;men;arm schulter brust;arm schulter brust;weg;str;sneg;sneg;ja;
00:20:26;00:20:26;man;man;arm hand brust;ruecken arm bauch;remp;str;sneg;sneg;ja;
00:20:49;00:20:49;man;fg;hand brust ;hand ruecken arm;weg;wea;pos;pos;ja;
00:20:19;00:20:53;men;men;arm ruecken schulter brust;arm ruecken schulter brust;nah;wea;pos;pos;ja;
00:21:07;00:21:08;man;man;hand;schulter arm;fes;wea;pos;pos;ja;
00:21:10;00:21:10;man;man;hand arm schulter brust;schulter ruecken;remp;str;sneg;sneg;nein;narr
00:21:10;00:21:13;men;men;hand schulter brust ruecken arme fuss bein;hand schulter brust ruecken bein fuss;ans;wea;pos;pos;ja;
00:21:13;00:21:13;man;man;bein gesaess arm schulter;bein gesaess arm schulter brust;remp;str;sneg;sneg;nein;
00:21:10;00:21:13;men;men;hand arm schulter bauch ruecken bein fuess;hand arm schulter ruecken bauch bein fuss;ans;wea;pos;pos;ja;
00:21:13;00:21:13;man;man;bauch arm kopf ;bauch ruecken arm;remp;str;sneg;sneg;nein;
00:21:20;00:21:22;men;men;arm schulter;arm schulter;nah;wea;pos;pos;ja;
00:21:22;00:21:22;fg;men;bein gesaess schulter arm;bein bauch schulter arm kopf;remp;str;sneg;sneg;ja;narr
00:21:25;00:21:26;man;man;schulter ruecken;schulter bauch;nah;wea;pos;pos;ja;
00:21:30;00:21:32;man;man;hand;schulter arm;fes;wea;pos;pos;ja;
00:21:24;00:21:32;men;men;schulter arm kopf;schulter arm kopf;nah;wea;pos;pos;ja;
00:21:51;00:21:53;jc;man;hand arm schulter ruecken bauch;hand arm schulter ruecken bauch;hug;wea;pos;pos;ja;narr
00:22:14;00:22:19;jc;man;hand;arm kopf;hit;str;sneg;sneg;ja;narr aud
00:22:19;00:22:21;jc;fg;hand;schulter ruecken huefte;zie;str;sneg;sneg;ja;narr
00:22:22;00:22:22;jc;fg;hand;arm;fes;str;neg;neg;ja;
00:22:23;00:22:23;jc;man;hand;bauch;sb;wea;neg;neg;ja;
00:22:25;00:22:26;jc;fg;hand;schulter brust;weg;str;neg;neg;ja;
00:22:28;00:22:28;jc;man;hand;brust;sb;wea;pos;neg;ja;
00:22:28;00:22:28;man;jc;hand;arm;weg;wea;neg;neg;ja;
00:22:29;00:22:29;man;jc ;arm;hand ;weg;wea;neg;neg;ja;
00:22:29;00:22:29;jc;man;hand;arm;fes;wea;pos;neg;ja;
00:22:30;00:22:30;man;jc;hand arm;huefte arm;weg;str;sneg;sneg;ja;
00:22:30;00:22:30;jc;man;hand arm;brust arm;sb;str;pos;sneg;ja;
00:23:02;00:23:04;jc;man;hand;hand ;zie;wea;pos;pos;ja;narr
00:23:06;00:23:06;jc;man;hand;hand ;zie;wea;pos;pos;ja;
00:23:52;00:23:52;jc;fg;arm;schulter;sb;wea;pos;pos;nein;
00:24:27;00:24:00;jc;fg;hand;hand ;fueh;wea;pos;pos;ja;narr
00:24:29;00:24:29;jc;fg;brust;hand ;sb;wea;spos;spos;ja;narr
00:24:40;00:24:40;fg;jc;hand;hand ;sb;wea;pos;pos;ja;
00:24:56;00:25:15;jc;fg;arm hand kopf;brust nacken kopf schulter ;hit;wea;pos;pos;ja;narr
00:25:15;00:25:15;jc;fg;kopf;kopf;kuss;wea;spos;spos;ja;narr aud
00:25:15;00:25:20;jc;fg;arm brust hand kopf;brust ruecken nacken kopf;sch;wea;pos;pos;ja;
00:25:19;00:25:22;jc;fg;hand;brust;sb;wea;pos;pos;ja;
00:25:38;00:25:40;men;men;fuss bein bauch ruecken huefte arm hand kopf nacken hals;fuss bein bauch ruecken huefte arm hand kopf nacken hals;lie;str;neg;neg;nein;
00:25:51;00:25:56;men;men;arm schultern;arm schultern ;nah ;wea;pos;pos;ja;
00:25:57;00:25:58;fg;men;arm schultern brust;ruecken arm;ans;wea;pos;pos;ja;
00:26:20;00:26:22;man;man;hand;hand ;haes;wea;pos;pos;ja;
00:26:24;00:26:26;man;man;hand;hand ;haes;wea;pos;pos;ja;
00:26:32;00:26:33;fg;man;hand;hand ;haes;wea;pos;pos;ja;
00:26:32;00:26:33;man;fg;hand;hand ;haes;wea;pos;pos;ja;
00:27:20;00:27:23;fg;man;hand;hand ;haes;wea;pos;pos;ja;
00:27:20;00:27:23;man;fg;hand;hand ;haes;wea;pos;pos;ja;
00:27:25;00:27:26;mg;fg;arm;arm;fes;wea;pos;pos;ja;
00:27:25;00:27:26;fg;mg;arm;arm;fes;wea;pos;pos;ja;
00:27:49;00:27:59;fg;men;gesaess bein;schulter arm;ans;wea;pos;neg;nein;
00:27:47;00:27:59;men;men;arm schultern;arm schulter;nah ;wea;pos;pos;nein;
00:28:13;00:28:55;fg;bb;arme schultern;arm schultern ;nah ;wea;pos;pos;ja;
00:28:40;00:28:42;bb;fg;hand;hand ;haes;wea;pos;pos;ja;
00:29:10;00:29:18;fg;bb;arm schultern;arm schultern ;nah ;wea;pos;pos;ja;
00:32:16;00:32:16;man;woman;hand;gesaess;tae;wea;pos;pos;ja;
00:33:19;00:33:19;jc;man;fuss;hand ;weg;str;neg;neg;ja;narr
00:33:15;00:33:34;fg;man;hand;schulter;weg;str;sneg;sneg;ja;narr
00:33:35;00:33:36;man;fg;hand;schulter;fes;str;neg;neg;ja;
00:33:35;00:33:36;fg;man;hand;brust;weg;str;sneg;sneg;ja;narr
00:33:36;00:33:36;man;fg;hand;schulter;fes;str;neg;neg;ja;
00:33:41;00:33:42;fg;jc;arm hand ;ruecken arm bauch;lag;wea;pos;neg;ja;narr
00:33:42;00:33:43;fg;jc;brust arm hand;schulter arm huefte ruecken bein;tra;wea;pos;sneg;ja;
00:33:44;00:33:44;jc;fg;hand;brust arm;weg;str;neg;neg;ja;narr
00:36:54;00:36:55;fg;bb;arm schulter ;arm ;ans;wea;pos;pos;nein;
00:36:54;00:36:55;bb;fg;arm schulter ;arm ;ans;wea;pos;pos;nein;
00:40:06;00:40:06;dt;man;hand;arm schulter;klop;wea;neg;neg;ja;
00:41:21;00:41:22;fg;dt;hand;hand ;sb;wea;pos;pos;nein;
00:41:39;00:41:45;fg;bb;arm;arm;nah ;wea;pos;pos;ja;
00:41:39;00:41:45;bb;fg;arm;arm;nah ;wea;pos;pos;ja;
00:42:00;00:42:59;bb;fg;hand;schulter;fes;wea;pos;pos;ja;
00:42:02;00:43:02;bb;fg;ruecken;ruecken;nah ;wea;pos;pos;ja;
00:43:26;00:43:27;jc;man;arm kopf ruecken brust;arm kopf ruecken brust;hug;wea;pos;pos;ja;
00:43:28;00:43:28;man;jc;hand;hand ;sb;wea;pos;pos;nein;
00:44:29;00:44:30;dt;man;gesaess;gesaess;nah;wea;pos;pos;nein;
00:44:42;00:44:43;man;man;hand;arm;fes;wea;pos;pos;ja;
00:44:44;00:44:44;man;man;arm;arm;sb;wea;pos;pos;nein;
00:44:44;00:44:46;dt;man;bein gesaess;bein gesaess;nah;wea;pos;pos;nein;
00:44:44;00:44:46;man;dt;bein gesaess;bein gesaess;nah;wea;pos;pos;nein;
00:44:51;00:44:51;man;man;schulter arm;schulter arm;nah;wea;pos;pos;nein;
00:45:12;00:45:14;dt;fg;hand;schulter;zie;str;pos;pos;ja;narr
00:46:24;00:46:28;fg;man;hand;schulter;lag;str;pos;pos;ja;narr
00:46:28;00:46:29;fg;man;nacken kopf ruecken brust hand arm;kopf nacken brust bauch huefte bein arm;tra;str;pos;pos;ja;
00:46:29;00:46:30;fg;man;nacken kopf ruecken brust hand arm;bauch huefte bein arm;tra;str;pos;pos;ja;
00:46:31;00:46:37;fg;man;nacken kopf ruecken brust hand arm;bauch huefte bein arm;tra;str;pos;pos;ja;
00:46:37;00:46:44;fg;man;nacken kopf ruecken brust hand arm;bauch huefte bein arm;tra;str;pos;pos;ja;
00:46:49;00:46:52;fg;man;nacken kopf ruecken brust hand arm;bauch huefte bein arm;tra;str;pos;pos;ja;
00:46:53;00:46:53;fg;man;hand;bein;fes;str;pos;pos;ja;
00:46:54;00:46:54;fg;man;hand;bein;fes;str;pos;pos;ja;narr
