start;end;actor;recp;bp_actor;bp_recp;label;int_bc;val_actor;val_recp;intention;audio_info
00:04:42;00:04:44;man;fg;haende;"ruecken;beine";lag;str;pos;pos;ja;nar
00:04:45;00:04:46;man;fg;haende;brust;lag;str;pos;pos;ja;nar
00:04:50;00:04:51;mg;fg;haende;beine;klei;str;pos;pos;ja;
00:05:14;00:05:16;mg;fg;haende;haende;hah;str;pos;pos;ja;
00:05:14;00:05:17;fg;mg;haende;haende;hah;str;pos;pos;ja;
00:05:42;00:05:53;mg;fg;haende;haende;hah;str;pos;pos;ja;nar
00:05:42;00:05:53;fg;mg;haende;haende;hah;str;pos;pos;ja;nar
00:05:52;00:05:53;mg;fg;haende;haende, arme;zie;str;pos;neg;ja;aud
00:05:55;00:05:57;mg;fg;haende;"ruecken;arme";zieh;str;pos;neg;ja;aud
00:05:59;00:06:01;fg;mg;arme;schultern;fes;wea;neg;pos;ja;
00:06:03;00:06:03;mg;fg;haende;beine;zieh;str;pos;pos;ja;
00:06:03;00:06:04;mg;fg;haende;bauch;sb;wea;pos;pos;ja;
00:06:04;00:06:05;mg;fg;haende;arme;fes;str;pos;neg;ja;
00:06:06;00:06:16;mg;fg;haende;haende;hah;str;pos;pos;ja;
00:06:25;00:06:49;mg;fg;haende;haende;hah;str;pos;pos;ja;
00:06:25;00:06:49;fg;mg;haende;haende;hah;str;pos;pos;ja;
00:06:49;00:06:50;mg;fg;haende;haende;hah;str;pos;pos;ja;
00:06:49;00:06:50;fg;mg;haende;haende;hah;str;pos;pos;ja;
00:06:50;00:06:51;mg;fg;haende;haende;hah;str;pos;pos;ja;
00:06:50;00:06:51;fg;mg;haende;haende;hah;str;pos;pos;ja;
00:06:51;00:06:51;mg;fg;haende;haende;hah;str;pos;pos;ja;
00:06:51;00:06:51;fg;mg;haende;haende;hah;str;pos;pos;ja;
00:06:52;00:06:52;mg;fg;haende;haende;hah;str;pos;pos;ja;
00:06:52;00:06:52;fg;mg;haende;haende;hah;str;pos;pos;ja;
00:06:53;00:06:53;mg;fg;haende;haende;hah;str;pos;pos;ja;
00:06:53;00:06:53;fg;mg;haende;haende;hah;str;pos;pos;ja;
00:06:54;00:07:05;mg;fg;haende;haende;hah;str;pos;pos;ja;
00:06:54;00:07:05;fg;mg;haende;haende;hah;str;pos;pos;ja;
00:07:06;00:07:07;mg;fg;haende;haende;hah;str;pos;pos;ja;
00:07:06;00:07:07;fg;mg;haende;haende;hah;str;pos;pos;ja;
00:07:07;00:07:14;mg;fg;haende;arme;fes;str;pos;pos;ja;
00:11:52;00:11:57;mg;fg;haende;gesicht;fes;str;pos;pos;ja;
00:11:57;00:11:57;mg;fg;gesicht;gesicht;kuss;wea;spos;spos;ja;
00:11:58;00:12:01;mg;fg;haende;"ruecken;brust";lag;str;pos;pos;ja;
00:14:00;00:14:00;jc;fg;haende;haende;haes;str;pos;spos;ja;nar
00:14:00;00:14:01;jc;fg;haende;haende;haes;str;pos;spos;ja;nar
00:14:01;00:14:02;jc;fg;haende;haende;haes;str;pos;spos;ja;nar
00:14:17;00:14:21;jc;fg;"schultern;arme";"schultern;arme";nah;wea;pos;pos;ja;
00:14:17;00:14:21;fg;jc;"schultern;arme";"schultern;arme";nah;wea;pos;pos;ja;
00:14:32;00:14:42;jc;fg;"haende;arme";"haende;arme";hah;str;spos;spos;ja;nar
00:14:43;00:14:46;jc;fg;"haende;arme";"haende;arme";hah;str;spos;spos;ja;nar
00:15:06;00:15:06;jc;fg;haende;haende;lag;str;pos;spos;ja;aud
00:15:06;00:15:08;jc;fg;haende;haende;lag;str;pos;spos;ja;aud
00:15:12;00:15:12;jc;fg;haende;schultern;klop;wea;pos;pos;ja;
00:15:12;00:15:12;jc;fg;haende;ruecken;ans;wea;pos;pos;ja;
00:17:53;00:17:53;jc;fg;haende;haende;zie;str;pos;pos;ja;nar
00:17:58;00:17:59;jc;fg;haende;haende;zie;str;pos;pos;ja;nar
00:18:03;00:18:03;jc;fg;haende;haende;zie;str;pos;pos;ja;nar
00:18:04;00:18:04;jc;fg;haende;haende;zie;str;pos;pos;ja;
00:18:04;00:18:04;jc;fg;haende;haende;zie;str;pos;pos;ja;
00:18:09;00:18:09;jc;fg;haende;haende;lag;wea;pos;pos;ja;
00:18:56;00:19:04;jc;fg;"haende;arme";"schultern;brust";hug;wea;spos;spos;ja;
00:20:26;00:20:26;man;man;"arme;haende, brust";"arme;bauch;ruecken";tac;str;pos;neg;ja;"nar;aud"
00:20:44;00:20:44;men;men;"kopf;schultern;brust,haende;bauch;ruecken";"kopf;schultern;brust,haende;bauch;ruecken";tac;str;neg;neg;ja;
00:20:48;00:20:49;man;fg;haende;ruecken;ans;str;pos;pos;ja;
00:21:07;00:21:08;man;man;haende;schultern;fes;str;spos;pos;ja;
00:21:10;00:21:10;man;man;"haende;arme;brust";"arme;schultern;ruecken";tac;str;sneg;sneg;nein;nar
00:21:13;00:21:14;man;man;"kopf;haende;arme;brust";"brust;bauch;kopf";tac;str;sneg;sneg;nein;
00:21:22;00:21:22;fg;men;arme;"schultern;brust";weg;str;neg;sneg;nein;nar
00:21:51;00:21:54;jc;man;"arme;brust";"arme;brust";sch;str;spos;spos;ja;nar
