start;end;actor;recp;bp_actor;bp_recp;label;int_bc;val_actor;val_recp;intention;audio_info
00:04:42:15;00:04:43:05;man;fg;arm hand;bein;lag;str;neg;pos;ja;narr
00:04:43:21;00:04:44:11;man;fg;arm hand;bein;lag;str;neg;pos;ja;narr
00:04:44:19;00:04:45:23;man;fg;brust;brust;tra;str;neg;pos;ja;narr
00:04:45:19;00:04:46:06;man;fg;hand;brust;fes;wea;neg;pos;ja;narr
00:04:50:00;00:04:51:15;mg;fg;hand;gesaess;klei;wea;pos;pos;ja;
00:05:14:05;00:05:16:08;mg;fg;hand;hand;hah;wea;pos;pos;ja;
00:05:14:05;00:05:16:08;fg;mg;hand;hand;hah;wea;pos;pos;ja;
00:05:43:01;00:05:53:01;mg;fg;hand;hand;hah;wea;pos;pos;ja;
00:05:43:01;00:05:53:01;fg;mg;hand;hand;hah;wea;pos;pos;ja;
00:05:52:24;00:05:53:01;mg;fg;hand;arm;zieh;str;neg;neg;ja;
00:05:55:17;00:05:56:20;mg;fg;hand;arm;fes;str;neg;neg;ja;
00:05:55:17;00:05:56:20;fg;mg;arm;hand;fes;str;neg;neg;ja;
00:05:55:23;00:05:58:01;mg;fg;hand;ruecken;fes;str;neg;neg;ja;
00:06:03:17;00:06:04:10;mg;fg;hand;huefte;sb;wea;neg;neg;ja;
00:06:05:19;00:06:15:24;mg;fg;hand;hand;hah;wea;neg;neg;ja;
00:06:25:14;00:06:51:16;mg;fg;hand;hand;hah;wea;pos;pos;ja;
00:06:25:14;00:06:51:16;fg;mg;hand;hand;hah;wea;pos;pos;ja;
00:06:53:16;00:07:07:14;mg;fg;hand;hand;hah;wea;pos;pos;ja;
00:06:53:16;00:07:07:14;fg;mg;hand ;hand;hah;wea;pos;pos;ja;
00:07:07:21;00:07:14:09;mg;fg;hand;schulter;fes;str;pos;pos;ja;
00:11:19:18;00:11:21:11;mg;fg;arm;schulter;nah;wea;pos;pos;ja;
00:11:19:18;00:11:21:11;fg;mg;schulter;arm;nah;wea;pos;pos;ja;
00:11:26:03;00:11:27:18;mg;fg;arm;schulter;nah;wea;pos;pos;ja;
00:11:26:03;00:11:27:18;fg;mg;schulter;arm;nah;wea;pos;pos;ja;
00:11:52:15;00:11:58:00;mg;fg;hand;gesicht;fes;wea;pos;pos;ja;
00:11:52:15;00:11:58:00;fg;mg;gesicht;hand;lie;wea;pos;pos;ja;
00:11:57:10;00:11:57:16;mg;fg;gesicht;gesicht;kuss;wea;pos;pos;ja;
00:11:58:13;00:12:00:05;mg;fg;arm hand;ruecken;lag;str;pos;pos;ja;
00:12:00:05;00:12:01:06;mg;fg;hand;arm;fes;wea;pos;pos;ja;
00:14:00:04;00:14:02:09;jc;fg;hand;hand;haes;wea;pos;pos;ja;narr
00:14:17:05;00:14:21:01;fg;jc;schulter arm;schulter arm;nah;wea;pos;pos;ja;
00:14:17:05;00:14:21:01;jc;fg;schulter arm;schulter arm;nah;wea;pos;pos;ja;
00:14:32:22;00:14:41:23;jc;fg;hand arm;hand arm;hah;wea;pos;pos;ja;narr
00:14:43:19;00:14:45:24;jc;fg;hand arm;hand arm;hah;wea;pos ;pos ;ja;
00:15:07:00;00:15:08:24;jc;fg;hand;hand;lag;str;pos;pos;ja;
00:15:12:03;00:15:12:09;jc;fg;hand;schulter;ans;str;pos;pos;ja;
00:17:53:09;00:17:53:13;jc;fg;hand;hand;zie;wea;pos;pos;ja;
00:17:59:03;00:17:59:09;jc;fg;hand;hand;zie;wea;pos;pos;ja;
00:17:59:03;00:17:59:09;fg;jc;hand;hand;zie;wea;pos;pos;ja;
00:18:09:09;00:18:10:07;jc;fg;hand;hand;lag;wea;pos;pos;ja;
00:18:56:15;00:19:04:07;jc;fg;hand arm;schulter brust;sch;wea;pos;pos;ja;
00:20:26:06;00:20:26:16;man;man;schulter arm;ruecken;tac;str;neg;sneg;ja;narr aud
00:20:48:20;00:20:49:13;man;fg;hand;ruecken;ans;wea;pos;pos;ja;
00:20:57:12;00:20:57:23;man;man;hand;ruecken;fueh;str;pos;pos;ja;
00:21:07:20;00:21:08:15;man;man;hand;schulter;fes;wea;pos ;pos;ja;
00:21:10:05;00:21:10:09;man;man;brust arm;schulter;tac;str;neg;neg;nein;narr
00:21:13:08;00:21:14:00;man;man;brust;ruecken;tac;str;neg;neg;nein;
00:21:22:03;00:21:22:20;fg;men;schulter;schulter;remp;str;pos;neg;ja;narr aud
00:21:29:11;00:21:32:11;man;man;hand;schulter;fes;wea;spos;spos;ja;
00:21:30:19;00:21:32:04;man;man;hand;schulter;klop;wea;spos;spos;ja;
00:22:19:18;00:22:20:13;jc;fg;hand;huefte;zie;str;sneg;neg;ja;narr
00:22:21:04;00:22:21:08;jc;fg;hand;ruecken;hit;str;sneg;neg;ja;
00:22:25:22;00:22:26:18;jc;fg;hand;schulter;weg;str;sneg;neg;ja;
00:22:28:02;00:22:28:10;jc;man;hand;brust;sb;wea;pos;sneg;ja;
00:22:28:07;00:22:28:17;man;jc;hand;hand;weg;str;sneg;sneg;ja;
00:22:30:19;00:22:30:24;man;jc;hand;bauch;weg;str;sneg;sneg;ja;
00:23:02:05;00:23:02:24;jc;fg;hand;hand;zieh;wea;sneg;pos;ja;narr
00:24:27:14;00:24:28:23;jc;fg;hand;hand;hah;wea;pos;pos;ja;narr
00:24:39:09;00:24:39:18;jc;fg;hand;hand;hah;wea;pos;pos;ja;
00:24:56:06;00:25:19:08;jc;fg;hand arm kopf brust hals;schulter hals kopf nacken;nah;wea;pos;pos;ja;narr
00:25:02:12;00:25:05:13;jc;fg;hand;gesicht hals;sb;wea;pos;pos;ja;narr
00:25:15:02;00:25:15:15;jc;fg;gesicht;gesicht;kuss;wea;pos;pos;ja;narr aud
00:25:19:01;00:25:21:18;jc;fg;hand;brust schulter;sb;wea;pos;pos;ja;
00:25:37:04;00:25:38:01;men;men;schulter brust;ruecken;tac;str;neg;sneg;nein;narr aud
00:25:38:01;00:25:40:01;men;men;brust schulter;ruecken;lie;wea;neg;sneg;nein;narr aud
00:26:20:17;00:26:22:19;man;man;hand;hand;haes;wea;pos;spos;ja;
00:26:24:19;00:26:26:07;man;man;hand;hand;haes;wea;pos;spos;ja;
00:26:32:22;00:26:33:13;man;fg;hand;hand;haes;wea;pos;pos;ja;
00:27:20:14;00:27:22:21;man;fg;hand;hand;haes;wea;pos;pos;ja;
00:27:25:11;00:27:26:15;mg;fg;hand;arm;ein;wea;spos;pos;ja;
00:27:25:11;00:27:26:15;fg;mg;arm;hand;ein;wea;pos;spos;ja;
00:28:39:10;00:28:42:11;bb;fg;hand;hand;haes;wea;pos;pos;ja;
00:32:16:15;00:32:16:18;man;woman;hand;gesaess;klop;wea;pos;pos;ja;
00:33:19:06;00:33:19:10;jc;man;fuss;hand;weg;str;neg;sneg;ja;narr
00:33:33:09;00:33:34:09;fg;man;hand;ruecken schulter;weg;str;neg;neg;ja;narr
00:33:34:22;00:33:36:03;man;fg;hand;schulter;fes;wea;neg;neg;ja;
00:33:35:21;00:33:36:02;fg;man;hand;brust;weg;str;neg;neg;ja;narr
00:33:36:01;00:33:36:05;man;fg;hand;schulter;sb;wea;neg;neg;ja;
00:33:42:06;00:33:42:15;fg;jc;hand arm;ruecken bein;tra;str;pos;sneg;ja;narr
00:33:43:23;00:33:44:08;jc;fg;hand;brust;weg;str;sneg;neg;ja;
00:36:20:04;00:36:20:22;man;man;hand;ruecken;fueh;wea;pos;pos;ja;
00:40:06:05;00:40:06:15;dt;man;hand;schulter;klop;wea;pos;pos;ja;
00:41:12:09;00:41:12:14;dt;man;hand;schulter;klop;wea;pos;pos;ja;
00:41:39:03;00:41:45:01;bb;fg;bein huefte;arm hand;nah;wea;pos;pos;ja;
00:41:39:03;00:41:45:01;fg;bb;arm hand;bein huefte;nah;wea;pos ;pos;ja;
00:41:59:12;00:42:00:04;bb;fg;hand;schulter;ans;wea;pos;pos;ja;
00:42:02:13;00:43:02:22;bb;fg;ruecken;ruecken;nah;wea;pos;pos;ja;
00:43:26:05;00:43:27:05;jc;man;arm schulter nacken;ruecken arm;hug;wea;spos;spos;ja;
00:43:26:05;00:43:27:05;man;jc;ruecken arm;arm schulter nacken;hug;wea;spos;spos;ja;
00:45:12:24;00:45:14:22;dt;fg;hand;schulter;zie;str;sneg;neg;ja;narr
00:45:15:07;00:45:16:07;dt;fg;hand;schulter;zie;str;sneg;neg;ja;narr
00:46:23:15;00:46:24:12;fg;man;hand;schulter;lag;str;neg;neg;ja;
00:46:25:14;00:46:28:15;fg;man;hand schulter nacken;bein arm bauch;tra;str;sneg;sneg;ja;narr
